Date, Year of Study,Gender, Difficulty of sleep, Sleeping hours per day,Trouble,Rating of Sleep,Study Difficulty,Difficulty of fatigue,Missing of class,Impact,Habits of screen,Drinking habits of beverages,Physical Activity,Stress Level,Rating of Study
10/24/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Sometimes,Always,Moderate impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor
10/24/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),No stress,Poor
10/24/2024,Third year,Female,Every night,7-8 hours,Every night,Very good,Sometimes,Sometimes,Often (3-4 times a week),Severe impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,High stress,Below Average
10/24/2024,Second year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Minor impact,Often (5-6 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Second year,Female,Never,7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Minor impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/24/2024,Third year,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Often,Always,Severe impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),Extremely high stress,Below Average
10/24/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Always,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Poor
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,Low stress,Below Average
10/24/2024,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor
10/24/2024,Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Always,Always,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/24/2024,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average
10/24/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Good,Sometimes,Sometimes,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Every night,Every day,Every day,Low stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Very good,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Below Average
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor
10/24/2024,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Rarely,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Average
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Sometimes,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Every day,Every day,High stress,Below Average
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Below Average
10/24/2024,Third year,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Never,Rarely,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average
10/24/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Average
10/24/2024,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/24/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Always,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/24/2024,Second year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Sometimes,Always,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,Third year,Male,Every night,7-8 hours,Every night,Good,Sometimes,Sometimes,Never,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Sometimes (1-2 times a week),Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/24/2024,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Every night,Good,Sometimes,Often,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor
10/25/2024,Third year,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Sometimes (1-2 times a week),Severe impact,Every night,Every day,Rarely (1-2 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Second year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/25/2024,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/25/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Always,Severe impact,Every night,Every day,Sometimes (3-4 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Third year,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Third year,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor
10/25/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Never,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/25/2024,Third year,Female,Every night,More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,7-8 hours,Every night,Good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Always,Always,Always,Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/25/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
10/25/2024,Third year,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/25/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Below Average
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
10/25/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/25/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Sometimes,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/25/2024,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/25/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Female,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/25/2024,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024,Third year,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024,Third year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
